category,total,crash,signaled,false (pos/neg),category, tag
========,=====,=====,========,===============,========,========
correct,732,0,82,82,, 
 , , , ,9,Bad heuristics,
 , , , ,32,Unsupported invocation,
 , , , ,35,<missing>,
 , , , ,6,parse fail,
--------,-----,-----,--------,---------------,--------,--------
buggy,360,0,311,49,, 
 , , , ,2,Wrong semantic,
 , , , ,30,<missing>,
 , , , ,14,Unsupported invocation,
 , , , ,1,uniq without sort,
 , , , ,1,About globing; out of scope,
 , , , ,1,Existence Quantifier required for reasoning,
========,=====,=====,========,===============,========,========
total,1092,0, ,131,, 
