Length,Time
3,0.01
2,0.0
2,0.0
2,0.0
2,0.0
3,0.02
4,0.01
2,0.0
6,0.0
5,0.0
9,0.01
11,0.01
2,0.0
2,0.0
4,0.0
2,0.0
2,0.01
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
8,0.02
9,0.02
9,0.69
8,0.25
2,0.0
2,0.0
2,0.0
6,0.01
4,0.0
5,0.01
5,0.01
5,0.0
7,0.01
5,0.0
5,0.01
2,0.0
4,0.01
2,0.01
2,0.01
2,0.0
10,0.0
5,0.05
5,0.05
4,0.05
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
6,0.01
3,0.0
4,0.0
3,0.01
3,0.0
5,0.0
5,0.01
5,0.02
3,0.01
4,0.0
5,0.01
5,0.01
3,0.0
4,0.0
4,0.01
5,0.01
6,0.01
6,0.01
6,0.01
2,0.01
3,0.0
5,0.01
8,0.01
7,0.01
7,0.01
3,0.0
5,0.0
5,0.0
4,0.0
5,0.01
2,0.0
2,0.0
3,0.01
7,0.02
6,0.01
2,0.0
2,0.0
4,0.0
2,0.0
2,0.0
3,0.0
7,0.01
3,0.0
3,0.0
3,0.01
4,0.01
3,0.0
4,0.0
2,0.0
9,0.01
8,0.01
7,0.01
2,0.01
4,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.02
2,0.01
2,0.03
2,0.04
2,0.0
2,0.0
2,0.0
2,0.0
2,0.01
4,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.02
2,0.01
2,0.02
2,0.03
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
3,0.0
3,0.01
4,0.0
4,0.0
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
3,0.0
3,0.0
3,0.01
4,0.0
4,0.0
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
3,0.01
3,0.01
2,0.0
2,0.0
3,0.0
3,0.01
4,0.0
4,0.0
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
3,0.0
3,0.0
3,0.01
4,0.0
4,0.0
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
3,0.0
3,0.0
2,0.0
2,0.0
3,0.0
3,0.01
3,0.01
2,0.0
3,0.01
3,0.01
2,0.0
2,0.0
3,0.01
4,0.0
4,0.0
4,0.0
3,0.0
4,0.0
4,0.0
3,0.0
4,0.0
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
6,0.0
6,0.0
3,0.0
3,0.0
3,0.01
3,0.01
2,0.0
3,0.01
3,0.03
2,0.0
2,0.0
3,0.01
4,0.0
4,0.0
4,0.0
3,0.0
4,0.0
4,0.0
3,0.0
4,0.0
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
6,0.0
6,0.0
3,0.0
3,0.0
3,0.01
3,0.01
2,0.0
3,0.01
3,0.01
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
5,0.01
2,0.0
2,0.0
2,0.0
5,0.01
2,0.0
2,0.0
2,0.0
5,0.01
2,0.0
2,0.0
2,0.0
5,0.01
2,0.0
2,0.0
3,0.0
3,0.0
2,0.0
3,0.0
3,0.0
3,0.0
2,0.0
3,0.0
3,0.0
4,0.01
2,0.0
2,0.0
3,0.0
2,0.0
2,0.0
2,0.0
2,0.0
3,0.0
2,0.0
2,0.0
3,0.03
4,0.03
2,0.0
2,0.0
2,0.0
2,0.01
6,0.03
2,0.0
2,0.0
2,0.0
7,0.12
7,0.13
7,0.12
2,0.0
7,0.12
2,0.01
3,0.0
3,0.0
3,0.02
4,0.02
2,0.0
2,0.0
3,0.01
2,0.0
2,0.0
2,0.0
5,0.01
2,0.0
2,0.0
2,0.0
5,0.01
2,0.0
2,0.0
2,0.0
5,0.01
2,0.0
2,0.0
2,0.0
5,0.01
2,0.0
2,0.0
3,0.0
3,0.01
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
3,0.0
3,0.0
3,0.01
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
3,0.0
3,0.0
2,0.0
2,0.0
3,0.0
3,0.01
3,0.0
3,0.0
4,0.0
2,0.0
6,0.0
6,0.0
6,0.0
3,0.0
3,0.0
3,0.01
3,0.0
3,0.0
4,0.0
2,0.0
6,0.0
6,0.0
6,0.0
3,0.0
3,0.0
2,0.0
2,0.0
3,0.0
3,0.0
3,0.0
5,0.0
5,0.0
3,0.0
3,0.0
5,0.0
5,0.0
2,0.0
2,0.0
3,0.0
2,0.0
2,0.0
3,0.0
3,0.01
4,0.0
3,0.0
4,0.0
4,0.0
3,0.0
4,0.0
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
6,0.0
6,0.0
3,0.0
3,0.0
3,0.01
4,0.0
3,0.0
4,0.0
4,0.0
3,0.0
4,0.0
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
6,0.0
6,0.0
3,0.0
3,0.0
3,0.0
2,0.0
2,0.0
2,0.0
10,0.01
10,0.01
10,0.01
4,0.01
4,0.0
4,0.0
8,0.0
6,0.0
4,0.0
5,0.0
3,0.0
5,0.0
4,0.01
7,0.01
3,0.0
3,0.0
6,0.0
11,0.05
5,0.01
3,0.0
9,0.04
10,0.04
5,0.01
4,0.01
8,0.01
3,0.0
9,0.01
5,0.0
3,0.0
5,0.0
4,0.0
5,0.0
7,0.01
4,0.0
2,0.0
8,0.01
3,0.01
2,0.0
